worksheet,store,metric,score,item,brand,price,high_low,cart_total,location_name,address,open_time,close_time,map_x,map_y,description
Metric by Store,Food Story Natural Market,Sales/Discounts,3,,,,,,,,,,,,
Metric by Store,Shop Fair,Sales/Discounts,4,,,,,,,,,,,,
Metric by Store,Mr. Fruit Stores,Sales/Discounts,4,,,,,,,,,,,,
Metric by Store,Key Food,Sales/Discounts,4,,,,,,,,,,,,
Metric by Store,City Fresh Market,Sales/Discounts,4,,,,,,,,,,,,
Metric by Store,Met Fresh,Sales/Discounts,5,,,,,,,,,,,,
Metric by Store,Food Bazaar,Sales/Discounts,5,,,,,,,,,,,,
Metric by Store,Billy's Marketplace (C Town),Sales/Discounts,5,,,,,,,,,,,,
Metric by Store,Associated Supermarkets (Brooklyn),Sales/Discounts,5,,,,,,,,,,,,
Metric by Store,Met Fresh,Selection,3,,,,,,,,,,,,
Metric by Store,Hana Natural,Selection,3,,,,,,,,,,,,
Metric by Store,Shop Fair,Selection,4,,,,,,,,,,,,
Metric by Store,Key Food,Selection,4,,,,,,,,,,,,
Metric by Store,Associated Supermarkets (Brooklyn),Selection,4,,,,,,,,,,,,
Metric by Store,Mr. Fruit Stores,Selection,5,,,,,,,,,,,,
Metric by Store,Food Story Natural Market,Selection,5,,,,,,,,,,,,
Metric by Store,Food Bazaar,Selection,5,,,,,,,,,,,,
Metric by Store,City Fresh Market,Selection,5,,,,,,,,,,,,
Metric by Store,Billy's Marketplace (C Town),Selection,5,,,,,,,,,,,,
Lowest Price per,Mr. Fruit Stores,,,Bananas (per lb),N/A,0,,,,,,,,,
Lowest Price per,Key Food,,,Bananas (per lb),(organic),0.49,,,,,,,,,
Lowest Price per,Shop Fair,,,Bananas (per lb),(organic),0.59,,,,,,,,,
Lowest Price per,City Fresh Market,,,Bananas (per lb),(unknown),0.69,,,,,,,,,
Lowest Price per,Food Bazaar,,,Bananas (per lb),(unknown),0.79,,,,,,,,,
Lowest Price per,Met Fresh,,,Bananas (per lb),(unknown),0.79,,,,,,,,,
Lowest Price per,Food Story Natural Market,,,Bananas (per lb),(organic),0.99,,,,,,,,,
Lowest Price per,Associated Supermarkets (Brooklyn),,,Bananas (per lb),(unknown),1.09,,,,,,,,,
Lowest Price per,Hana Natural,,,Bananas (per lb),(unknown),1.29,,,,,,,,,
Lowest Price per,Billy's Marketplace (C Town),,,Bananas (per lb),(unknown),1.39,,,,,,,,,
Lowest Price per,Shop Fair,,,Cheddar Cheese,Farms Creamery,1.99,,,,,,,,,
Lowest Price per,Associated Supermarkets (Brooklyn),,,Cheddar Cheese,Krasdale,2.49,,,,,,,,,
Lowest Price per,Billy's Marketplace (C Town),,,Cheddar Cheese,Krasdale,2.49,,,,,,,,,
Lowest Price per,Key Food,,,Cheddar Cheese,Urban Meadow,2.49,,,,,,,,,
Lowest Price per,Met Fresh,,,Cheddar Cheese,Tropical,2.9,,,,,,,,,
Lowest Price per,City Fresh Market,,,Cheddar Cheese,Kraft,2.99,,,,,,,,,
Lowest Price per,Food Bazaar,,,Cheddar Cheese,Borden,2.99,,,,,,,,,
Lowest Price per,Mr. Fruit Stores,,,Cheddar Cheese,Borden,3.49,,,,,,,,,
Lowest Price per,Hana Natural,,,Cheddar Cheese,Store Brand,4.66,,,,,,,,,
Lowest Price per,Food Story Natural Market,,,Cheddar Cheese,New York Cheddar,4.67,,,,,,,,,
Lowest Price per,Hana Natural,,,Chicken Breast (per lb),N/A,0,,,,,,,,,
Lowest Price per,Shop Fair,,,Chicken Breast (per lb),N/A,0,,,,,,,,,
Lowest Price per,Key Food,,,Chicken Breast (per lb),Urban Meadow,1.05,,,,,,,,,
Lowest Price per,Associated Supermarkets (Brooklyn),,,Chicken Breast (per lb),Perdue,2.69,,,,,,,,,
Lowest Price per,Billy's Marketplace (C Town),,,Chicken Breast (per lb),Perdue,2.69,,,,,,,,,
Lowest Price per,Met Fresh,,,Chicken Breast (per lb),(unknown),3.54,,,,,,,,,
Lowest Price per,City Fresh Market,,,Chicken Breast (per lb),(unknown),4.12,,,,,,,,,
Lowest Price per,Food Bazaar,,,Chicken Breast (per lb),Store Brand,6,,,,,,,,,
Lowest Price per,Mr. Fruit Stores,,,Chicken Breast (per lb),Bell and Evans,13.99,,,,,,,,,
Lowest Price per,Food Story Natural Market,,,Chicken Breast (per lb),(unknown),15.99,,,,,,,,,
Lowest Price per,Shop Fair,,,Coffee,Cafe Eldorado,1.67,,,,,,,,,
Lowest Price per,Food Bazaar,,,Coffee,Cafe Aroma,1.99,,,,,,,,,
Lowest Price per,Key Food,,,Coffee,Cafe Aroma,2.19,,,,,,,,,
Lowest Price per,Associated Supermarkets (Brooklyn),,,Coffee,Folgers,3.69,,,,,,,,,
Lowest Price per,Billy's Marketplace (C Town),,,Coffee,Folgers,3.69,,,,,,,,,
Lowest Price per,Food Story Natural Market,,,Coffee,Cafe Bustelo,3.99,,,,,,,,,
Lowest Price per,Mr. Fruit Stores,,,Coffee,Cafe Bustelo,3.99,,,,,,,,,
Lowest Price per,Met Fresh,,,Coffee,Folgers,5.29,,,,,,,,,
Lowest Price per,City Fresh Market,,,Coffee,Folgers,5.99,,,,,,,,,
Lowest Price per,Hana Natural,,,Coffee,(unknown),7.99,,,,,,,,,
Lowest Price per,Billy's Marketplace (C Town),,,Eggs (Dozen),(unknown),1.39,,,,,,,,,
Lowest Price per,Food Bazaar,,,Eggs (Dozen),Ebenshade,1.5900000000000003,,,,,,,,,
Lowest Price per,Key Food,,,Eggs (Dozen),Sunshine Farms,1.67,,,,,,,,,
Lowest Price per,Met Fresh,,,Eggs (Dozen),(unknown),1.69,,,,,,,,,
Lowest Price per,City Fresh Market,,,Eggs (Dozen),Mitlitsky,1.89,,,,,,,,,
Lowest Price per,Mr. Fruit Stores,,,Eggs (Dozen),Saunders Amish Eggs,1.99,,,,,,,,,
Lowest Price per,Associated Supermarkets (Brooklyn),,,Eggs (Dozen),(unknown),2,,,,,,,,,
Lowest Price per,Shop Fair,,,Eggs (Dozen),Sunshine Farms,2,,,,,,,,,
Lowest Price per,Food Story Natural Market,,,Eggs (Dozen),Pine Belt Eggs,2.69,,,,,,,,,
Lowest Price per,Hana Natural,,,Eggs (Dozen),(unknown),4.29,,,,,,,,,
Lowest Price per,Key Food,,,Milk (1/2 Gallon),Farmland,2.29,,,,,,,,,
Lowest Price per,Shop Fair,,,Milk (1/2 Gallon),Cream-o-Land,2.69,,,,,,,,,
Lowest Price per,Food Bazaar,,,Milk (1/2 Gallon),Cream-o-Land,2.99,,,,,,,,,
Lowest Price per,Food Story Natural Market,,,Milk (1/2 Gallon),Midland Farms,3.49,,,,,,,,,
Lowest Price per,Mr. Fruit Stores,,,Milk (1/2 Gallon),Cream-o-Land,3.49,,,,,,,,,
Lowest Price per,Associated Supermarkets (Brooklyn),,,Milk (1/2 Gallon),Cream-o-Land,4.19,,,,,,,,,
Lowest Price per,Billy's Marketplace (C Town),,,Milk (1/2 Gallon),Tuscan Dairy Farms Gal,4.19,,,,,,,,,
Lowest Price per,City Fresh Market,,,Milk (1/2 Gallon),2% Derle Hygrade Gal,4.49,,,,,,,,,
Lowest Price per,Hana Natural,,,Milk (1/2 Gallon),Organic Valley,4.59,,,,,,,,,
Lowest Price per,Met Fresh,,,Milk (1/2 Gallon),Tuscan Dairy Farms Gal,4.59,,,,,,,,,
Lowest Price per,Met Fresh,,,Peanut Butter,Avenue A,2.49,,,,,,,,,
Lowest Price per,Shop Fair,,,Peanut Butter,Jif,2.99,,,,,,,,,
Lowest Price per,Associated Supermarkets (Brooklyn),,,Peanut Butter,Skippy,3.19,,,,,,,,,
Lowest Price per,Billy's Marketplace (C Town),,,Peanut Butter,Skippy,3.19,,,,,,,,,
Lowest Price per,Key Food,,,Peanut Butter,Jif,3.29,,,,,,,,,
Lowest Price per,Food Bazaar,,,Peanut Butter,Jif,3.49,,,,,,,,,
Lowest Price per,City Fresh Market,,,Peanut Butter,Jif,3.79,,,,,,,,,
Lowest Price per,Food Story Natural Market,,,Peanut Butter,Skippy,3.99,,,,,,,,,
Lowest Price per,Mr. Fruit Stores,,,Peanut Butter,Jif,3.99,,,,,,,,,
Lowest Price per,Hana Natural,,,Peanut Butter,Woodstock Organic Farms,7.49,,,,,,,,,
Lowest Price per,Met Fresh,,,Spinach,Kale,1.29,,,,,,,,,
Lowest Price per,Mr. Fruit Stores,,,Spinach,(unknown),2.49,,,,,,,,,
Lowest Price per,Food Bazaar,,,Spinach,Uncle Vinny's,2.5,,,,,,,,,
Lowest Price per,Food Story Natural Market,,,Spinach,Fresh,2.99,,,,,,,,,
Lowest Price per,Key Food,,,Spinach,Dole,2.99,,,,,,,,,
Lowest Price per,Shop Fair,,,Spinach,Dole,2.99,,,,,,,,,
Lowest Price per,Hana Natural,,,Spinach,Bunch,3.29,,,,,,,,,
Lowest Price per,Associated Supermarkets (Brooklyn),,,Spinach,Bunch,3.69,,,,,,,,,
Lowest Price per,Billy's Marketplace (C Town),,,Spinach,Bunch,3.69,,,,,,,,,
Lowest Price per,City Fresh Market,,,Spinach,Bunch,5.99,,,,,,,,,
Stores Map,Food Bazaar,,,,,,,,Food Bazaar,1590 Gates Ave,7 AM,10 PM,180,74,"If you want a one-stop-shop with great discounts, Food Bazaar is for you. A local giant with over 20 locations around the Tri-State area, Food Bazaar’s sheer size and selection is enough to keep you coming back. Not only can you find daily markdowns on a variety of items, Food Bazaar also has an easy-to-use app where you can become a member, earn points and find additional coupons and discounts."
Stores Map,Food Story Natural Market,,,,,,,,Food Story Natural Market,1552 Myrtle Ave,24 Hours,,181,69,"Shopping vegan, gluten free, keto or more? Food Story has you covered. Known for its great selection of specialty products, Food Story is the option to go with if you have any dietary restrictions or if you want to add something new to your grocery list. 

Though the quality of Food Story’s products is always on point, be warned: it’s pretty easy to spend a lot of money at the stores. So be careful, but enjoy the nice displays and excellent products."
Stores Map,Key Food,,,,,,,,Key Food,1533 Broadway,8 AM,8 PM,183,16,"Key Food is another go-to for your basic grocery needs. Founded in 1937, Key Food knows how to bring great deals and high quality products to every neighborhood. Though Key Food’s stores aren’t quite as large as Food Bazaar’s, their affordable selections rival many.

Key Food is also known for its store brand Urban Meadow, which is almost always the most affordable."
Stores Map,Met Fresh,,,,,,,,Met Fresh,1381 Myrtle Ave,7 AM,11 PM,140,58,"This little family-owned store is big enough to have everything you need for your weekly grocery trip. While it’s not a standout, its sales are killer and it feels really local, which means you can feel good about supporting your neighborhood grocer while you grab must-haves at some of the best prices around."
Stores Map,Mr. Fruit Stores,,,,,,,,Mr. Kiwi's,957 Broadway,24 Hours,,62,38,"Since 2006, the Mr. Fruit stores have been bringing quality produce at fair prices to Brooklyn. Originally from South Korea, the Yoon family owns a pack of these mini grocery stores, with 11 locations in Brooklyn and Queens. 

Though they have a solid inventory of quality groceries, the real star of these small but mighty stores is the produce (and fresh juices). Mr. Fruit stores are always clean, and the staff is always friendly, creating a stress-free shopping experience."
Stores Map,Shop Fair,,,,,,,,Shop Fair,920 Seneca Ave,7 AM,9 PM,218,79,"Filled with great displays and a variety of products, Shop Fair in Ridgewood is an excellent option for your basic necessities. The store is on the smaller side, with a selection that’s a bit more limited than some of the aforementioned stores. But if you live in the Ridgewood area and value good prices, Shop Fair is a great place to go."
Stores Map,Billy's Marketplace (C Town),,,,,,,,Billy's Marketplace (C Town),870 Cypress Ave,7 AM,10 PM,208,77,"Billy’s, a Ridgewood-based store, is where local feel meets the convenience and selection you might expect to see at a bigger franchise. Offering a local birreria, a Peet’s Coffee bar, fresh juices and smoothies, a hot food bar and fresh seafood at fantastic prices, it’s hard not to fall in love with Billy’s on your first visit. 

Billy’s is owned by C Town, but kept its neighborhood flare intact — every aisle is outfitted with replica street signs you’ll see walking through Ridgewood. You can also follow Billy’s fun social media channels to stay abreast of its sales and specials ahead of your next trip."
Stores Map,Food Bazaar,,,,,,,,Food Bazaar,454 Wycoff Ave,7 AM,10 PM,221,64,"If you want a one-stop-shop with great discounts, Food Bazaar is for you. A local giant with over 20 locations around the Tri-State area, Food Bazaar’s sheer size and selection is enough to keep you coming back. Not only can you find daily markdowns on a variety of items, Food Bazaar also has an easy-to-use app where you can become a member, earn points and find additional coupons and discounts."
Stores Map,Mr. Fruit Stores,,,,,,,,Mr. Lemon,410 Knickerbocker Ave,24 Hours,,132,63,"Since 2006, the Mr. Fruit stores have been bringing quality produce at fair prices to Brooklyn. Originally from South Korea, the Yoon family owns a pack of these mini grocery stores, with 11 locations in Brooklyn and Queens. 

Though they have a solid inventory of quality groceries, the real star of these small but mighty stores is the produce (and fresh juices). Mr. Fruit stores are always clean, and the staff is always friendly, creating a stress-free shopping experience."
Stores Map,Associated Supermarkets (Brooklyn),,,,,,,,Associated Supermarkets (Brooklyn),333 Seneca Ave,7 AM,9 PM,130,87,"The tried and true Associated Supermarkets are scattered all over the greater New York City metropolitan area, so you know you can count on this chain to have your basics at affordable prices. The location most central to Bushwick-area residents is known for its fresh produce, so take advantage of the seasonal fruits and veggies when you’re nearby. 

On the whole, Associated Supermarkets is your standard grocery shopping experience, which means you’ll find everything on your list at an affordable cost. There is also a variety of health foods and Latin options, making this spot a neighborhood staple."
Stores Map,City Fresh Market,,,,,,,,City Fresh Market,229 Knickerbocker Ave,24 Hours,,93,71,"Bushwick Daily readers picked this Knickerbocker Avenue gem as the neighborhood’s best grocery store multiple years in a row. It got a huge facelift a few years ago, and its central location near Maria Hernandez Park makes it a convenient stop for pretty much anyone.

It’s prices aren’t the lowest amongst its competitors, but if you have a chance to shop here, it’s a trip you won’t regret. Between its product selection (this is the only store where we spotted rhubarb, and it has the best mushroom variety we’ve seen), fresh kombucha and coffee booths, and a delicious fresh bakery, this super accessible spot is a fan favorite for a reason. Special perks include a 10% senior citizen discount, free shuttle service with a minimum $100 purchase and buffet items."
Stores Map,Key Food,,,,,,,,Key Food,72-82 Wyckoff Ave,7 AM,10 PM,119,82,"Key Food is another go-to for your basic grocery needs. Founded in 1937, Key Food knows how to bring great deals and high quality products to every neighborhood. Though Key Food’s stores aren’t quite as large as Food Bazaar’s, their affordable selections rival many.

Key Food is also known for its store brand Urban Meadow, which is almost always the most affordable."
Stores Map,Food Story Natural Market,,,,,,,,Food Story Natural Market,40 Bogart St,24 Hours,,58,74,"Shopping vegan, gluten free, keto or more? Food Story has you covered. Known for its great selection of specialty products, Food Story is the option to go with if you have any dietary restrictions or if you want to add something new to your grocery list. 

Though the quality of Food Story’s products is always on point, be warned: it’s pretty easy to spend a lot of money at the stores. So be careful, but enjoy the nice displays and excellent products."
Stores Map,Hana Natural,,,,,,,,Hana Natural,24 Wyckoff Ave,24 Hours,,100,86,"Conveniently located near the Jefferson Avenue L amid the many restaurants and bars of Jefftown, Hana Natural is an organic, fair trade dreamscape. This marketplace, which specializes in high quality brands catering to the vegan and health-conscious consumer, hits all the high notes with its next-level gourmet chocolate selection. If there’s a niche item on your list, you can probably find it here. 

That being said, Hana Natural is limited in its everyday fresh grocery selection and its prices are some of the highest on this list. If you’re in the neighborhood and need to pick up more unusual organic products or just want a vegan sandwich option, this market has you covered, and its excellent staff are super attentive."
Hover to View Cart,,,,Spinach,,,Low,31.910000000000004,,,,,,,
Hover to View Cart,,,,Spinach,,,High,44.9,,,,,,,
Hover to View Cart,,,,Peanut Butter,,,Low,37.9,,,,,,,
Hover to View Cart,,,,Peanut Butter,,,High,68.4,,,,,,,
Hover to View Cart,,,,Milk (1/2 Gallon),,,Low,36.99999999999999,,,,,,,
Hover to View Cart,,,,Milk (1/2 Gallon),,,High,58,,,,,,,
Hover to View Cart,,,,Eggs (Dozen),,,Low,21.200000000000003,,,,,,,
Hover to View Cart,,,,Eggs (Dozen),,,High,69.02,,,,,,,
Hover to View Cart,,,,Coffee,,,Low,40.48,,,,,,,
Hover to View Cart,,,,Coffee,,,High,124.09999999999998,,,,,,,
Hover to View Cart,,,,Chicken Breast (per lb),,,Low,50.06999999999999,,,,,,,
Hover to View Cart,,,,Chicken Breast (per lb),,,High,57.50999999999999,,,,,,,
Hover to View Cart,,,,Cheddar Cheese,,,Low,31.160000000000004,,,,,,,
Hover to View Cart,,,,Cheddar Cheese,,,High,43.60000000000001,,,,,,,
Hover to View Cart,,,,Bananas (per lb),,,Low,8.11,,,,,,,
Hover to View Cart,,,,Bananas (per lb),,,High,9.01,,,,,,,
